tweet_id,retweet_count,favorite_count
844979544864018432,2306,12644
844973813909606400,2840,13895
844580511645339650,2805,15251
844223788422217728,1984,12664
843981021012017153,2695,14069
843856843873095681,4159,19896
843604394117681152,2475,15652
843235543001513987,5380,19910
842846295480000512,3310,14181
842765311967449089,1175,6277
842535590457499648,3163,16863
842163532590374912,5244,22673
842115215311396866,2752,12995
841833993020538882,13522,0
841680585030541313,7134,23977
841439858740625411,3302,11694
841320156043304961,5007,18368
841314665196081154,4220,14705
841077006473256960,4876,21286
840761248237133825,1617,0
840728873075638272,14561,0
840698636975636481,2,163
840696689258311684,889,11447
840632337062862849,1617,8401
840370681858686976,4169,15305
840268004936019968,5202,17835
839990271299457024,2063,12500
839549326359670784,7044,25508
839290600511926273,132,0
839239871831150596,5912,25173
838952994649550848,3654,18326
838921590096166913,1852,10392
838916489579200512,31,0
838831947270979586,9993,0
838561493054533637,1229,10216
838476387338051585,4329,20913
838201503651401729,9148,0
838150277551247360,301,1565
838085839343206401,1,134
838083903487373313,2831,16416
837820167694528512,7132,31748
837482249356513284,405,3595
837471256429613056,2058,11958
837110210464448512,2173,15038
836989968035819520,2107,11919
836753516572119041,4251,18070
836677758902222849,2019,11819
836648853927522308,505,0
836397794269200385,24991,0
836380477523124226,2744,13875
836260088725786625,3969,19901
836001077879255040,3878,17830
835685285446955009,7396,0
835574547218894849,3289,16601
835536468978302976,1539,0
835309094223372289,19093,0
835297930240217089,2733,15394
835264098648616962,1539,7207
835246439529840640,63,1986
835172783151792128,5283,24507
835152434251116546,2754,20897
834931633769889797,1486,10072
834786237630337024,5099,20166
834574053763584002,2304,12779
834477809192075265,9737,0
834458053273591808,1543,9010
834209720923721728,4314,19190
834167344700198914,3353,14802
834089966724603904,1960,9428
834086379323871233,2036,12205
833863086058651648,2202,12587
833826103416520705,3481,17038
833732339549220864,203,0
833722901757046785,2989,19630
833479644947025920,1882,13971
833124694597443584,4428,18938
832998151111966721,2006,12393
832769181346996225,38,0
832757312314028032,3312,15819
832682457690300417,2658,11104
832645525019123713,483,2727
832636094638288896,2552,14852
832397543355072512,2034,11214
832369877331693569,2911,16027
832273440279240704,2138,10625
832215909146226688,5699,0
832215726631055365,8557,0
832088576586297345,2,59
832040443403784192,8792,0
832032802820481025,4289,16721
831939777352105988,5639,22418
831926988323639298,34,319
831911600680497154,5954,25754
831670449226514432,1683,9762
831650051525054464,1782,6659
831552930092285952,2151,8435
831322785565769729,1436,8729
831315979191906304,1035,6157
831309418084069378,2256,11053
831262627380748289,1883,11122
830956169170665475,1373,7486
830583320585068544,15355,62204
830173239259324417,5224,0
830097400375152640,2682,9125
829878982036299777,4590,0
829861396166877184,1789,11481
829501995190984704,9737,29795
829449946868879360,1854,9840
829141528400556032,6740,22842
829011960981237760,15047,50136
828801551087042563,3150,0
828770345708580865,5378,24003
828708714936930305,10279,34130
828650029636317184,1232,8923
828409743546925057,1077,6027
828408677031882754,1182,7225
828381636999917570,2053,11822
828376505180889089,990,6969
828372645993398273,2718,11835
828361771580813312,165,2061
828046555563323392,2645,11020
828011680017821696,1981,9745
827933404142436356,4808,18775
827653905312006145,2787,14541
827600520311402496,863,7038
827324948884643840,2796,14898
827199976799354881,2052,9966
